reward 4,reward 17,reward 22,reward 24,reward 6,reward 15,reward 11,reward 27,reward 16,reward 18,reward 0,reward 10,reward 7,reward 23,reward 19,reward 9,reward 26,reward 8,StepNum,reward 1,reward 2,reward 5,reward 25,reward 21,reward 28,reward 13,reward 3,reward 12,reward 14,reward 20,reward 29
283.30610625220646,0,0,0,-99382.78245797276,0,-99492.98790803931,0,0,0,299.7555749332668,-99457.90319531315,-99386.86631725643,0,0,-99455.0643599782,0,-99447.57377098115,1000,298.18989708978665,297.3234401920392,261.98118407519644,0,0,0,0,293.7094533583804,0,0,0,0
288.84415188458775,-99455.0643599782,-99492.98790803931,0,272.53268500333087,-99442.7723203304,-99404.61272503159,0,-99447.57377098115,-99455.28006036284,299.7555749332668,-99386.86631725643,261.98118407519644,0,-99457.90319531315,-99382.78245797276,0,208.49605222101872,2000,298.18989708978665,297.3234401920392,283.30610625220646,0,-99469.41408979346,0,-99426.14221951243,293.7094533583804,-99411.63640186087,-99432.33317562987,-99458.32970519818,0
288.84415188458775,-99411.63640186087,-99441.08508437406,-99442.7723203304,283.30610625220646,-99404.61272503159,208.49605222101872,-99452.64813477956,-99405.77454950643,-99426.14221951243,299.7555749332668,261.98118407519644,272.53268500333087,-99442.10848936014,-99432.33317562987,265.1236599297748,-99448.77722995171,269.1187217918605,3000,298.18989708978665,297.3234401920392,287.32067112773046,-99447.57377098115,-99439.88448764799,-99455.0643599782,-99386.86631725643,293.7094533583804,-99382.78245797276,-99396.44493007458,-99437.38019119005,-99455.28006036284
293.7094533583804,-99396.44493007458,-99425.03381538832,-99432.33317562987,287.32067112773046,-99386.86631725643,265.1236599297748,-99439.88977904011,-99393.90003349114,-99404.61272503159,299.7555749332668,269.1187217918605,283.30610625220646,-99426.14221951243,-99405.77454950643,272.53268500333087,-99439.88448764799,278.0652072417948,4000,298.18989708978665,297.3234401920392,288.84415188458775,-99437.38019119005,-99423.15549179401,-99441.08508437406,208.49605222101872,294.2436861717567,261.98118407519644,-99382.78245797276,-99411.63640186087,-99442.10848936014
293.7094533583804,-99386.86631725643,-99411.63640186087,-99425.03381538832,287.32067112773046,-99382.78245797276,265.1236599297748,-99429.76268809079,-99385.61325398153,-99393.90003349114,299.7555749332668,269.1187217918605,283.30610625220646,-99423.15549179401,-99396.44493007458,272.53268500333087,-99427.46588944213,278.0652072417948,5000,298.18989708978665,297.3234401920392,288.84415188458775,-99426.14221951243,-99405.77454950643,-99432.33317562987,208.49605222101872,294.2436861717567,261.98118407519644,-99360.60180720569,-99404.61272503159,-99435.4254613942
294.2436861717567,-99382.78245797276,-99396.44493007458,-99405.77454950643,288.84415188458775,208.49605222101872,269.1187217918605,-99423.15549179401,-99360.60180720569,-99385.61325398153,305.8485251591227,272.53268500333087,287.32067112773046,-99404.61272503159,-99386.86631725643,278.0652072417948,-99417.78240805374,283.30610625220646,6000,299.7555749332668,298.18989708978665,293.7094533583804,-99411.63640186087,-99393.90003349114,-99425.03381538832,264.8131830930815,297.3234401920392,265.1236599297748,261.98118407519644,-99392.33065779475,-99426.14221951243
297.3234401920392,264.8131830930815,-99382.78245797276,-99385.61325398153,294.2436861717567,269.1187217918605,283.30610625220646,-99393.90003349114,265.1236599297748,261.98118407519644,305.8485251591227,287.32067112773046,294.00274606385614,-99384.58654430514,208.49605222101872,288.84415188458775,-99392.33065779475,293.7094533583804,7000,299.7555749332668,299.3746796540139,294.5376980884097,-99386.86631725643,-99374.8093263459,-99396.44493007458,276.7468901260632,298.18989708978665,278.0652072417948,272.53268500333087,-99360.60180720569,-99404.61272503159
298.18989708978665,265.1236599297748,-99374.8093263459,-99377.02273807787,294.5376980884097,272.53268500333087,287.32067112773046,-99385.61325398153,269.1187217918605,264.8131830930815,313.23450405212066,288.84415188458775,294.2436861717567,-99375.66974004498,261.98118407519644,293.7094533583804,-99384.58654430514,294.00274606385614,8000,305.8485251591227,299.7555749332668,297.3234401920392,-99382.78245797276,-99360.60180720569,-99386.86631725643,278.0652072417948,299.3746796540139,283.30610625220646,276.7468901260632,208.49605222101872,-99392.33065779475
299.7555749332668,276.7468901260632,264.8131830930815,208.49605222101872,298.18989708978665,283.30610625220646,293.7094533583804,-99375.66974004498,278.0652072417948,272.53268500333087,354.33083858036724,294.00274606385614,297.3234401920392,261.98118407519644,269.1187217918605,294.2436861717567,-99374.8093263459,294.5376980884097,9000,313.23450405212066,305.9385492627078,299.3746796540139,-99360.60180720569,265.1236599297748,-99377.02273807787,288.1961909523976,305.8485251591227,288.84415188458775,287.32067112773046,267.0341750877408,-99382.78245797276
305.8485251591227,284.0502324566257,272.53268500333087,267.0341750877408,299.3746796540139,288.1961909523976,294.00274606385614,264.8131830930815,287.32067112773046,283.30610625220646,354.33083858036724,294.2436861717567,298.18989708978665,269.1187217918605,278.2482633001586,294.5376980884097,265.1236599297748,297.3234401920392,10000,313.23450405212066,312.91252289819244,299.7555749332668,266.3487883780505,276.7468901260632,261.98118407519644,293.39428428904336,305.9385492627078,293.7094533583804,288.84415188458775,278.0652072417948,253.20349237631632
305.8485251591227,286.4065855791951,276.7468901260632,272.53268500333087,299.3746796540139,288.1961909523976,294.00274606385614,266.3487883780505,287.32067112773046,284.0502324566257,354.33083858036724,294.2436861717567,298.18989708978665,275.4129642987744,283.30610625220646,294.5376980884097,267.0341750877408,297.3234401920392,11000,313.23450405212066,312.91252289819244,299.7555749332668,269.1187217918605,278.0652072417948,265.1236599297748,293.39428428904336,305.9385492627078,293.7094533583804,288.84415188458775,278.2482633001586,264.8131830930815
305.9385492627078,288.1961909523976,278.2482633001586,276.7468901260632,299.7555749332668,293.39428428904336,294.5376980884097,269.1187217918605,288.84415188458775,287.32067112773046,354.33083858036724,295.3440382956178,299.3746796540139,278.0652072417948,286.4065855791951,297.3234401920392,272.53268500333087,298.18989708978665,12000,313.23450405212066,312.91252289819244,305.8485251591227,275.4129642987744,283.30610625220646,267.0341750877408,294.00274606385614,308.9930792711137,294.2436861717567,293.7094533583804,284.0502324566257,266.3487883780505
